num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time
32,0,0,0,6057.815742216989,0.44332765549484054,63.323225281530476,6657.815742216989
24,0,0,0,7874.851077659656,0.5755846041422653,60.45393768730555,8474.851077659656
16,0,0,0,12174.900306422534,0.8887077257722126,60.751748123876055,12774.900306422534
8,0,0,0,29248.96472963158,2.133173062740802,70.97420502379066,29848.96472963158
48,0,0,0,3922.689916127307,0.2878884553425314,64.5237094700829,4522.689916127307
40,0,0,0,4933.968798529035,0.361596828695427,65.79274016028964,5533.968798529035
64,0,0,0,2824.8164353890866,0.20796772059484767,65.14761930429019,3424.8164353890866
56,0,0,0,3226.6743717049994,0.2371584593933836,63.692868986823214,3826.6743717049994
108,0,0,0,1511.2568347138777,0.11314058128121039,67.77134439431548,2111.2568347138777
72,0,0,0,2602.991155475298,0.19191631535331788,68.54401072717138,3202.991155475298
80,0,0,0,2238.6892502597625,0.165363698355101,67.49772217284324,2838.6892502597625
96,0,0,0,1714.777173818421,0.12717768695267087,66.04830869295228,2314.777173818421
160,0,0,0,903.3194029205431,0.06892750316216269,71.4911893833325,1503.319402920543
112,0,0,0,1429.4448394569392,0.10717760786598164,67.557963766811,2029.4448394569392
144,0,0,0,1096.9533506834719,0.08304076466091843,72.62960340925261,1696.9533506834719
176,0,0,0,750.1112037701266,0.05776072479842971,70.62581719277507,1350.1112037701266
128,0,0,0,1158.017897449339,0.08739430305493207,66.8828142318504,1758.017897449339
192,0,0,0,625.8640156763574,0.04870480729888385,69.95597316126413,1225.8640156763574
288,0,0,0,544.629642274373,0.02993429378864451,81.77608990147169,955.3281530545758
208,0,0,0,754.5170587493574,0.059029695078351624,83.7392546097936,1354.5170587493574
224,0,0,0,552.9223141511427,0.04116065922988892,73.74604543717803,1117.6465587852188
256,0,0,0,552.9223141511427,0.03028767695752295,73.11404738695319,968.4692420083576
304,0,0,0,552.9223141511427,0.01863615340155537,72.58176246845854,808.6103388204824
240,0,0,0,552.9223141511427,0.03532164680218537,73.3940948905147,1037.535308277126
320,0,0,0,552.9223141511427,0.015591666019341074,72.47915801419842,766.8399719365023
352,0,0,0,552.9223141511427,0.010393329030765354,72.35327396548323,695.5187884532434
448,0,0,0,336.46526933388066,0.026295047476657226,92.63325693447675,697.2333207136178
384,0,0,0,339.4807863799787,0.03391974983010124,91.14365998142851,804.8597540489677
400,0,0,0,339.4807863799787,0.03152171717605639,91.08898770233564,771.9587460354724
512,0,0,0,339.4807863799787,0.019154661898391677,91.11701467763909,602.2827476259125
480,0,0,0,339.4807863799787,0.02206576705892092,91.05118148098269,642.2231104283737
576,0,0,0,339.4807863799787,0.014348277917734197,91.3430283407381,536.3391594112919
624,0,0,0,339.4807863799787,0.011418374534238262,91.57520384697898,496.1408849897277
640,0,0,0,339.4807863799787,0.01054350018768456,91.66204246879053,484.1376089550109
864,0,0,0,251.73585253307766,0.019863219213707668,134.16230326197763,524.2592201451469
672,0,0,0,339.4807863799787,0.008923715937870426,91.84778323036544,461.91416904756096
704,0,0,0,339.4807863799787,0.007456777573260097,92.04771004390511,441.78777468510725
768,0,0,0,253.7619030484248,0.02163665753455452,125.52381612475335,550.6168444225128
832,0,0,0,253.7619030484248,0.018688001304397,125.70232251011753,510.16128094475164
896,0,0,0,251.73585253307766,0.01855277035837784,134.37651966564283,506.27986185002163
960,0,0,0,251.73585253307766,0.016201199404635314,134.82998877842851,474.01630836467416
1280,0,0,0,251.73585253307766,0.008043237221803997,137.43191126488404,362.0890672162285
1408,0,0,0,151.66477932767614,0.020332791249636932,179.57418778503398,430.6306752726949
1152,0,0,0,251.73585253307766,0.010750104309386126,136.33944426318808,399.2272836578553
1024,0,0,0,251.73585253307766,0.01415117040482251,135.31148625277717,445.8899104872425
1664,0,0,0,150.10990335078182,0.01732408617008178,191.44967963821145,387.79636560430384
1536,0,0,0,178.2290478878368,0.016970527310487277,185.83206638084454,411.06468258772225
2048,0,0,0,150.10990335078182,0.012478366191100135,195.10933955273998,321.31308749267566
1792,0,0,0,177.33381626477643,0.015863030897919284,209.5504826727412,394.974600184229
2304,0,0,0,149.59161135848373,0.011341519270234785,207.27556401012205,305.197255746105
3200,0,0,0,124.40366184208469,0.011594206526550908,267.0054221625949,283.47617538636314
2560,0,0,0,177.7107558955387,0.006945794528742351,205.86172955550953,273.00705682988377
2880,0,0,0,124.40366184208469,0.013635056044220198,263.7540848706916,311.4766307687858
3584,0,0,0,116.13332521353908,0.012145758294777816,296.2637637147859,282.7731290178907
4096,0,0,0,124.40366184208469,0.008176531980259534,265.5930566015226,236.5856806112455
