QPM,Kokoro,Gemma,Flux,FramePack,FramePack VAE,Fantasy Talking,Real-ESRGAN,Total
0.5,1.07,8.56,17.12,100.75,14.73,386.88,158.49,687.6
1.0,1.07,8.56,17.12,100.75,14.73,826.15,158.49,1126.87
2.0,1.07,8.56,17.12,100.75,25.44,1652.30,180.60,1985.85
5.0,3.21,8.56,17.12,225.68,62.94,4130.75,445.98,4894.24
10.0,5.35,13.91,17.12,447.33,125.87,8261.5,888.28,9759.37
20.0,9.63,27.82,17.12,890.63,250.41,16523.0,1776.56,19495.17
30.0,13.91,41.73,17.12,1337.96,374.95,24784.5,2661.16,29231.33
50.0,23.54,69.55,17.12,2224.56,625.36,41307.5,4434.03,48701.66
100.0,46.01,139.1,27.82,4449.12,1250.71,82615.0,8868.07,97395.83
