num_a100,num_h100,num_h200,ttff_s,tbf_s,total_time,total_energy_Ws
8,0,0,29248.96472963158,2.133173062740802,29848.96472963158,43462070.960643314
16,0,0,12174.900306422534,0.8887077257722126,12774.900306422534,42336319.80742292
32,0,0,6057.815742216989,0.44332765549484054,6657.815742216989,43153637.064228185
24,0,0,7874.851077659656,0.5755846041422653,8474.851077659656,42550580.61976213
40,0,0,4933.968798529035,0.361596828695427,5533.968798529035,43766651.74793205
48,0,0,3922.689916127307,0.2878884553425314,4522.689916127307,43554858.53742987
56,0,0,3226.6743717049994,0.2371584593933836,3826.6743717049994,43418401.72250632
64,0,0,2824.8164353890866,0.20796772059484767,3424.8164353890866,43687445.506579265
72,0,0,2602.991155475298,0.19191631535331788,3202.991155475298,44444613.38617945
80,0,0,2238.6892502597625,0.165363698355101,2838.6892502597625,44239478.503744826
128,0,0,1158.017897449339,0.08739430305493207,1758.017897449339,44729875.794447996
96,0,0,1714.777173818421,0.12717768695267087,2314.777173818421,43956558.25198969
112,0,0,1429.4448394569392,0.10717760786598164,2029.4448394569392,44859882.567685515
108,0,0,1511.2568347138777,0.11314058128121039,2111.2568347138777,44901229.33643872
144,0,0,1096.9533506834719,0.08304076466091843,1696.9533506834719,45950368.70560657
160,0,0,903.3194029205431,0.06892750316216269,1503.319402920543,45713993.34018752
176,0,0,750.1112037701266,0.05776072479842971,1350.1112037701266,45534702.25388889
208,0,0,754.5170587493574,0.059029695078351624,1354.5170587493574,48627865.45237508
256,0,0,552.9223141511427,0.03028767695752295,968.4692420083576,46290099.82503038
192,0,0,625.8640156763574,0.04870480729888385,1225.8640156763574,45396289.06562568
240,0,0,552.9223141511427,0.03532164680218537,1037.535308277126,46346854.56421207
224,0,0,552.9223141511427,0.04116065922988892,1117.6465587852188,46418615.9571526
288,0,0,544.629642274373,0.02993429378864451,955.3281530545758,48224485.12213559
304,0,0,552.9223141511427,0.01863615340155537,808.6103388204824,46184084.41922566
448,0,0,336.46526933388066,0.026295047476657226,697.2333207136178,56285552.54945906
320,0,0,552.9223141511427,0.015591666019341074,766.8399719365023,46164360.76195457
352,0,0,552.9223141511427,0.010393329030765354,695.5187884532434,46141466.85626476
400,0,0,339.4807863799787,0.03152171717605639,771.9587460354724,55827033.979397595
384,0,0,339.4807863799787,0.03391974983010124,804.8597540489677,55836851.78145404
480,0,0,339.4807863799787,0.02206576705892092,642.2231104283737,55827198.89309843
512,0,0,339.4807863799787,0.019154661898391677,602.2827476259125,55844192.18305217
624,0,0,339.4807863799787,0.011418374534238262,496.1408849897277,55951293.52153056
576,0,0,339.4807863799787,0.014348277917734197,536.3391594112919,55897905.80335636
1024,0,0,251.73585253307766,0.01415117040482251,445.8899104872425,81749048.68853457
896,0,0,251.73585253307766,0.01855277035837784,506.27986185002163,81540654.01329465
640,0,0,339.4807863799787,0.01054350018768456,484.1376089550109,55971064.61064468
672,0,0,339.4807863799787,0.008923715937870426,461.91416904756096,56013129.076489635
864,0,0,251.73585253307766,0.019863219213707668,524.2592201451469,81492638.02934413
1664,0,0,150.10990335078182,0.01732408617008178,387.79636560430384,113989565.42341426
2048,0,0,150.10990335078182,0.012478366191100135,321.31308749267566,114794223.67761269
2304,0,0,149.59161135848373,0.011341519270234785,305.197255746105,117973242.32986724
3200,0,0,124.40366184208469,0.011594206526550908,283.47617538636314,152227152.26101783
768,0,0,253.7619030484248,0.02163665753455452,550.6168444225128,79232462.52376392
1152,0,0,251.73585253307766,0.010750104309386126,399.2272836578553,81976887.52977957
1408,0,0,151.66477932767614,0.020332791249636932,430.6306752726949,110931940.521967
1792,0,0,177.33381626477643,0.015863030897919284,394.974600184229,116846092.53329988
832,0,0,253.7619030484248,0.018688001304397,510.16128094475164,79274129.98041356
2560,0,0,177.7107558955387,0.006945794528742351,273.00705682988377,115538937.62981427
3584,0,0,116.13332521353908,0.012145758294777816,282.7731290178907,172442473.26206282
960,0,0,251.73585253307766,0.016201199404635314,474.01630836467416,81641921.02501127
1536,0,0,178.2290478878368,0.016970527310487277,411.06468258772225,110632324.85455255
1280,0,0,251.73585253307766,0.008043237221803997,362.0890672162285,82218214.8581444
4096,0,0,124.40366184208469,0.008176531980259534,236.5856806112455,151921327.67468202
704,0,0,339.4807863799787,0.007456777573260097,441.78777468510725,56058159.60461692
2880,0,0,124.40366184208469,0.013635056044220198,311.4766307687858,151514292.11337554
